Title,Start Time,End Time,Notes,,
Morning Stand-up,5:00,5:42,Daily sync with team,,
Email & Planning,9:15,10:00,Process inbox and plan the day,,
Deep Work Block 1,10:00,11:30,Focus on main project — no interruptions,,
Break,11:30,11:45,Short break,,
Meetings,11:45,12:30,Client calls or internal meetings,,
Lunch,12:30,13:15,,,
Deep Work Block 2,13:15,15:00,Continue main project,,
Review & QA,15:00,15:45,Code review and QA,,
Team Sync,15:45,16:15,Afternoon standup,,
Admin & Wrap-up,16:15,17:00,Emails, documentation, EOD notes
